id,username,letterboxd,email,lastLetterboxdCheck
usr_ca512f,Logan,LFStokols,,2025-01-28 12:28:10.488940+00:00
usr_ffa1f9,testUser,,,2025-01-28 12:28:11.110899+00:00
usr_203e84,huh,LFStokols,,2025-01-28 12:28:11.298418+00:00
