id,username,letterboxd,email,lastLetterboxdCheck
usr_ca512f,Logan,LFStokols,,2025-01-23 07:05:00.495580+00:00
usr_ffa1f9,testUser,,,2025-01-23 07:02:05.361050+00:00
usr_203e84,huh,,,2025-01-23 07:02:05.535962+00:00
