id,username,letterboxd,email,lastLetterboxdCheck
usr_ca512f,Logan,LFStokols,,2025-01-28 06:53:24.951692+00:00
usr_ffa1f9,testUser,LFStokols,,2025-01-27 18:53:25.554375+00:00
usr_203e84,huh,LFStokols,,2025-01-27 18:53:26.046886+00:00
