id,username,letterboxd,email,lastLetterboxdCheck
usr_ca512f,Logan,LFStokols,,2025-01-23 07:02:04.838900+00:00
usr_ffa1f9,testUser,,,2025-01-23 06:05:00.976137+00:00
usr_203e84,huh,,,2025-01-23 06:05:01.157396+00:00
